match_id,set_number,team,own_score,opp_score,h_score,v_score,first_touch,touch_quality,touch_quality_score,setter,settercall,settercall_desc,settercall_type,score_diff,score_stage,is_clutch,prev_attack_result,streak_flow,possession_num,point_type,own_rotation,opp_rotation,setter_front,attacker_rt_eff,is_repeat_route,consecutive_toss_count,attack_code,attack_zone,num_blockers,attack_between_blockers,attacker_name,attack_result,attacker_season_pct,ace_is_front,setter_canonical,setter_name,attacker_rt_eff_missing,brier_score
45492d0e-04cd-447d-9584-17892f15ce91,2,Team_7,5,5,5,5,Reception,-,0.0,P7,,,,0,1,0,1,-2,1.0,Sideout,5,4.0,0,0.6,1,2.0,LC,4,2.0,False,Attacker112,=,45.2,1.0,P7,P7,0,0.0009296990164399
45492d0e-04cd-447d-9584-17892f15ce91,2,Team_7,7,6,6,7,Reception,+,2.0,P7,KA,A Quick,Middle,1,1,0,2,1,1.0,Sideout,4,3.0,1,0.5,0,1.0,CA,3,1.0,False,Attacker101,-,52.31,0.0,P7,P7,0,0.1009677558400708
45492d0e-04cd-447d-9584-17892f15ce91,2,Team_7,7,6,6,7,Dig,+,2.0,P7,,,,1,1,0,3,1,3.0,Sideout,4,3.0,1,0.6428571428571429,0,1.0,P9,9,2.0,False,Attacker109,#,52.13,0.0,P7,P7,0,0.0006282504758632
45492d0e-04cd-447d-9584-17892f15ce91,2,Team_7,8,6,6,8,Dig,#,3.0,P7,,,,2,2,0,1,2,2.0,Breakpoint,3,3.0,1,0.6,0,1.0,LC,4,1.0,False,Attacker110,-,52.41,0.0,P7,P7,0,0.0294780041303705
45492d0e-04cd-447d-9584-17892f15ce91,2,Team_7,8,7,7,8,Dig,+,2.0,P7,,,,1,2,0,3,-1,2.0,Breakpoint,3,3.0,1,0.5454545454545454,1,2.0,LH,4,3.0,False,Attacker110,/,52.41,0.0,P7,P7,0,0.0008847245533142
45492d0e-04cd-447d-9584-17892f15ce91,2,Team_7,8,8,8,8,Reception,-,0.0,P7,,,,0,2,0,2,-2,1.0,Sideout,3,2.0,1,0.6875,0,1.0,PR,9,2.0,False,Attacker109,=,52.13,0.0,P7,P7,0,0.0005436237791723
45492d0e-04cd-447d-9584-17892f15ce91,2,Team_7,9,8,8,9,Reception,+,2.0,P7,KA,A Quick,Middle,1,2,0,2,1,1.0,Sideout,3,2.0,1,0.5,0,1.0,LC,4,2.0,False,Attacker110,#,52.41,0.0,P7,P7,0,0.0460471064458401
45492d0e-04cd-447d-9584-17892f15ce91,2,Team_7,12,8,8,12,Dig,+,2.0,P7,,,,4,2,0,1,4,2.0,Breakpoint,2,2.0,1,0.5384615384615384,1,2.0,LH,4,2.0,False,Attacker110,#,52.41,0.0,P7,P7,0,0.0012796163601392
45492d0e-04cd-447d-9584-17892f15ce91,2,Team_7,12,9,9,12,Freeball,+,2.0,P7,,,,3,2,0,1,-1,3.0,Breakpoint,2,2.0,1,0.4,1,1.0,CB,4,1.0,False,Attacker103,=,60.71,0.0,P7,P7,0,0.1379506498682505
45492d0e-04cd-447d-9584-17892f15ce91,2,Team_7,13,9,9,13,Reception,-,0.0,P7,KL,Shifted to 4,Shift,4,2,0,2,1,1.0,Sideout,2,1.0,1,0.5714285714285714,1,1.0,LC,4,2.0,False,Attacker110,#,52.41,0.0,P7,P7,0,0.000464514506734
45492d0e-04cd-447d-9584-17892f15ce91,2,Team_7,14,10,10,14,Reception,#,3.0,P7,KA,A Quick,Middle,4,2,0,1,1,1.0,Sideout,1,6.0,0,0.5,0,1.0,P8,8,1.0,False,Attacker112,#,45.2,1.0,P7,P7,0,1.008720471437821
45492d0e-04cd-447d-9584-17892f15ce91,2,Team_7,16,11,11,16,Reception,!,1.0,P7,KE,"pass to 3a, 2c",Other,5,3,0,1,1,1.0,Sideout,6,5.0,0,0.3333333333333333,0,1.0,CA,3,1.0,False,Attacker103,!,60.71,1.0,P7,P7,0,0.0613719024319423
45492d0e-04cd-447d-9584-17892f15ce91,2,Team_7,16,11,11,16,Dig,!,1.0,P7,,,,5,3,0,3,1,2.0,Sideout,6,5.0,0,0.5714285714285714,0,1.0,LH,4,3.0,False,Attacker112,#,45.2,1.0,P7,P7,0,0.0078598289705672
45492d0e-04cd-447d-9584-17892f15ce91,2,Team_7,16,12,12,16,Dig,+,2.0,P7,,,,4,3,0,1,-1,2.0,Breakpoint,5,5.0,0,0.6470588235294118,0,1.0,XC,2,2.0,False,Attacker109,!,52.13,1.0,P7,P7,0,0.0072170296563146
45492d0e-04cd-447d-9584-17892f15ce91,2,Team_7,16,12,12,16,Dig,!,1.0,P7,,,,4,3,0,3,-1,3.0,Breakpoint,5,5.0,0,0.625,0,1.0,LH,4,2.0,False,Attacker112,/,45.2,1.0,P7,P7,0,0.0053960057739029
45492d0e-04cd-447d-9584-17892f15ce91,2,Team_7,17,13,13,17,Reception,-,0.0,P7,,,,4,3,0,2,1,1.0,Sideout,5,4.0,0,0.5555555555555556,1,2.0,LC,4,2.0,False,Attacker112,-,45.2,1.0,P7,P7,0,0.0009501204557995
45492d0e-04cd-447d-9584-17892f15ce91,2,Team_7,19,16,16,19,Reception,!,1.0,P7,KA,A Quick,Middle,3,3,0,3,1,1.0,Sideout,4,3.0,1,0.5,1,3.0,LC,4,1.0,False,Attacker112,#,45.2,0.0,P7,P7,0,0.0006897374403659
45492d0e-04cd-447d-9584-17892f15ce91,2,Team_7,23,18,18,23,Reception,#,3.0,P7,KB,B Quick,Middle,5,4,0,1,1,1.0,Sideout,2,1.0,1,0.2857142857142857,1,1.0,CB,4,1.0,False,Attacker103,#,60.71,0.0,P7,P7,0,0.0429807145102987
45492d0e-04cd-447d-9584-17892f15ce91,2,Team_7,23,20,20,23,Reception,-,0.0,P7,,,,3,4,0,1,-2,1.0,Sideout,1,6.0,0,0.5625,1,1.0,LH,4,2.0,False,Attacker110,-,52.41,1.0,P7,P7,0,0.0020581661613278
45492d0e-04cd-447d-9584-17892f15ce91,3,Team_7,3,0,0,3,Freeball,+,2.0,P7,,,,3,1,0,3,2,3.0,Breakpoint,1,4.0,0,0.3333333333333333,0,1.0,CA,3,2.0,False,Attacker103,#,60.71,1.0,P7,P7,0,0.0245708095945027
45492d0e-04cd-447d-9584-17892f15ce91,3,Team_7,4,2,2,4,Reception,-,0.0,P7,,,,2,1,0,1,1,1.0,Sideout,1,3.0,0,0.5294117647058824,0,1.0,LH,4,2.0,False,Attacker110,#,52.41,1.0,P7,P7,0,0.046882838253019
